"Cluster","first_region","legend_label","hex"
451,"Thalamus","Thalamus","#FDAE6B"
452,"Thalamus","Thalamus","#FDAE6B"
453,"Thalamus","Thalamus","#FDAE6B"
454,"Thalamus","Thalamus","#FDAE6B"
455,"Thalamus","Thalamus","#FDAE6B"
456,"Thalamus","Thalamus","#FDAE6B"
457,"Thalamus","Thalamus","#FDAE6B"
458,"Thalamus","Thalamus","#FDAE6B"
459,"Thalamus","Thalamus","#FDAE6B"
460,"Thalamus","Thalamus","#FDAE6B"
